company_id,sic_code,regional_folder,quality_flag,n_pages,company_text_length,hash_algorithm,sha256_document_hash,text_shared_in_repository,crawl_date
RMCT_COMP_0054,24200,Primary_Metal_Production,usable_rich,1,6379,SHA-256,32a8618b8ddf3566249e2493f7b4a087a374c6345b3be999d96ddc50ac0d479c,False,not_publicly_released_in_current_extract
RMCT_COMP_0055,24200,Primary_Metal_Production,usable_rich,1,3692,SHA-256,2bd1094a21acccfa07c40d6739970b5a70b7197d2993220d8e1950dc0e70e629,False,not_publicly_released_in_current_extract
RMCT_COMP_0056,24200,Primary_Metal_Production,usable,1,1449,SHA-256,dc4a9c431372745e8adb6933bdce342bb6b7355484663c5ee3a96b1583cb7dfe,False,not_publicly_released_in_current_extract
RMCT_COMP_0057,24200,Primary_Metal_Production,usable_rich,1,5411,SHA-256,b05be632b074d6a70eb07ec333759d03900a167b2d317ffbf51b4884c254dc7c,False,not_publicly_released_in_current_extract
RMCT_COMP_0058,24200,Primary_Metal_Production,usable,1,2250,SHA-256,922515b032500b4235a609ec0241892a41f41a1cf91c220ea266eec96f66f005,False,not_publicly_released_in_current_extract
RMCT_COMP_0059,24200,Primary_Metal_Production,usable_rich,1,3038,SHA-256,30b58d05ec7b10dd57414486835e2f5e32838c3eae7a8cc6e14c6e9673e3532d,False,not_publicly_released_in_current_extract
RMCT_COMP_0060,24200,Primary_Metal_Production,usable_rich,1,5710,SHA-256,56b41d666f7527de82db806a4c60e6f060251e0d722ef01a816097a65b5da040,False,not_publicly_released_in_current_extract
RMCT_COMP_0061,24200,Primary_Metal_Production,usable,1,1560,SHA-256,558aac7aeeac1079bc2cc881e666b18e0a1cd1e5db5a83a31b71a1163884c65c,False,not_publicly_released_in_current_extract
RMCT_COMP_0062,24200,Primary_Metal_Production,usable_rich,1,11198,SHA-256,74aa62c9a3d9af53d686ad491eb216f4e8c8c9f084fb465f329a250a85d6931e,False,not_publicly_released_in_current_extract
RMCT_COMP_0063,24200,Primary_Metal_Production,short_but_usable,1,444,SHA-256,b7393fa99d23da235ad90b1d78b90710b9a68d9b9f8718a7926fbd2023343709,False,not_publicly_released_in_current_extract
RMCT_COMP_0064,24200,Primary_Metal_Production,usable_rich,1,6763,SHA-256,6f7e2ea13f5372f563eee35e41db8b7c650a28dbf9f557f5b4fbf485fe1754da,False,not_publicly_released_in_current_extract
RMCT_COMP_0065,24200,Primary_Metal_Production,usable,1,1416,SHA-256,7a5b33325aea6bbb29b68a97b734f6bd80a7be883162b5ceaf828de31fcf6624,False,not_publicly_released_in_current_extract
RMCT_COMP_0066,24200,Primary_Metal_Production,usable_rich,1,3938,SHA-256,af11e846d7044f9c62f8b1111734908e461b4ad7dcffedc67dfd34d4922148a3,False,not_publicly_released_in_current_extract
RMCT_COMP_0067,24200,Primary_Metal_Production,usable_rich,1,7395,SHA-256,4830b48c8a74bae3b998625459af1315374bdbc408517892c8e86788a514d184,False,not_publicly_released_in_current_extract
RMCT_COMP_0068,24320,Forging__Forming___Pressing,usable_rich,1,4786,SHA-256,622de2e68726060e4f94b3d1cbd48184587bb94a6d34a8d89e5a8cd732ff8251,False,not_publicly_released_in_current_extract
RMCT_COMP_0069,24320,Forging__Forming___Pressing,usable,1,2247,SHA-256,3e1e282933a2ab2e640b4d572d90a08a76cc5674358590c050e2d57fbfd02931,False,not_publicly_released_in_current_extract
RMCT_COMP_0070,24330,Forging__Forming___Pressing,usable_rich,1,15723,SHA-256,3ba01011cc14ad0a076aa124e43e392cdb9dff604bb43762d8e8ab6722fb2208,False,not_publicly_released_in_current_extract
RMCT_COMP_0071,24330,Forging__Forming___Pressing,usable_rich,1,3439,SHA-256,0bb29e4e6d65ea555660eb5e8b3a76efb7d41ae913728dcf4f9b5018c3aff404,False,not_publicly_released_in_current_extract
RMCT_COMP_0072,24330,Forging__Forming___Pressing,usable_rich,1,15644,SHA-256,51a2ae9bb86ec971eaffe035371d6dcf488e34a26aed95803ac612ec9e672709,False,not_publicly_released_in_current_extract
