company_id,company_name_public,sic_code,regional_folder,website_available,website_text_status,quality_flag,n_pages,company_text_length,crawl_date
RMCT_COMP_0061,Priory Woodfield Engineering Limited,24200,Primary_Metal_Production,True,SUCCESS,usable,1,1560,not_publicly_released_in_current_extract
RMCT_COMP_0062,Top Tubes Limited,24200,Primary_Metal_Production,True,SUCCESS,usable_rich,1,11198,not_publicly_released_in_current_extract
RMCT_COMP_0063,Tribulo Limited,24200,Primary_Metal_Production,True,PARTIAL,short_but_usable,1,444,not_publicly_released_in_current_extract
RMCT_COMP_0064,Union Fasteners Limited,24200,Primary_Metal_Production,True,SUCCESS,usable_rich,1,6763,not_publicly_released_in_current_extract
RMCT_COMP_0065,Voltec Gun Systems Limited,24200,Primary_Metal_Production,True,SUCCESS,usable,1,1416,not_publicly_released_in_current_extract
RMCT_COMP_0066,W E Bates Limited,24200,Primary_Metal_Production,True,SUCCESS,usable_rich,1,3938,not_publicly_released_in_current_extract
RMCT_COMP_0067,Weldrite Midlands Ltd,24200,Primary_Metal_Production,True,SUCCESS,usable_rich,1,7395,not_publicly_released_in_current_extract
RMCT_COMP_0068,Steel Sections Warley Limited,24320,Forging__Forming___Pressing,True,SUCCESS,usable_rich,1,4786,not_publicly_released_in_current_extract
RMCT_COMP_0069,Trident Sections 2020 Limited,24320,Forging__Forming___Pressing,True,SUCCESS,usable,1,2247,not_publicly_released_in_current_extract
RMCT_COMP_0070,A T Enclosures Limited,24330,Forging__Forming___Pressing,True,SUCCESS,usable_rich,1,15723,not_publicly_released_in_current_extract
RMCT_COMP_0071,Advanced Coldformed Sections Ltd,24330,Forging__Forming___Pressing,True,SUCCESS,usable_rich,1,3439,not_publicly_released_in_current_extract
RMCT_COMP_0072,Barnshaw Plate Rollers Limited,24330,Forging__Forming___Pressing,True,SUCCESS,usable_rich,1,15644,not_publicly_released_in_current_extract
RMCT_COMP_0073,Bridgemill Sections Limited,24330,Forging__Forming___Pressing,True,SUCCESS,usable,1,1566,not_publicly_released_in_current_extract
RMCT_COMP_0074,Drywall Steel Sections Limited,24330,Forging__Forming___Pressing,True,SUCCESS,usable_rich,1,11249,not_publicly_released_in_current_extract
RMCT_COMP_0075,Easiflo Fabrications Limited,24330,Forging__Forming___Pressing,True,SUCCESS,usable,1,1832,not_publicly_released_in_current_extract
RMCT_COMP_0076,Kpec Limited,24330,Forging__Forming___Pressing,True,SUCCESS,usable_rich,1,5273,not_publicly_released_in_current_extract
RMCT_COMP_0077,Titan Steel Wheels Limited,24330,Forging__Forming___Pressing,True,SUCCESS,usable,1,1914,not_publicly_released_in_current_extract
RMCT_COMP_0078,Alloy Wire International Limited,24340,Forging__Forming___Pressing,True,SUCCESS,usable_rich,1,8138,not_publicly_released_in_current_extract
RMCT_COMP_0079,Barnfather Wire Midlands Limited,24340,Forging__Forming___Pressing,True,SUCCESS,usable,1,2435,not_publicly_released_in_current_extract
